,Name,Country,Whiskies,Votes,Rating
24,Aberfeldy,Scotland,442,6919,83.93
25,Aberlour,Scotland,1180,24582,84.98
55,Allt-a-Bhainne,Scotland,412,3204,84.21
68,Amrut,India,507,9845,84.84
87,Ardbeg,Scotland,2240,83843,88.06
91,Ardmore,Scotland,1442,14914,85.22
100,Arran,Scotland,2116,35025,85.28
107,Auchentoshan,Scotland,1162,14363,83.93
109,Auchroisk,Scotland,634,5128,84.68
111,Aultmore,Scotland,825,7127,85.15
128,Balblair,Scotland,596,9717,85.89
133,Balmenach,Scotland,546,3391,85.16
135,Balvenie,Scotland,3309,24891,86.41
160,Ben Nevis,Scotland,1537,31837,86.59
167,BenRiach,Scotland,1698,36275,86.01
168,Benrinnes,Scotland,1235,12939,85.52
169,Benromach,Scotland,476,12895,85.83
207,Bladnoch,Scotland,891,7636,85.13
208,Blair Athol,Scotland,921,11355,85.60
236,Bowmore,Scotland,3497,74021,86.94
238,Box,Sweden,386,1031,84.84
240,Braeval,Scotland,479,3234,85.19
329,Bruichladdich,Scotland,3525,86327,86.79
333,Buffalo Trace Distillery,United States,2937,7768,85.02
337,Bunnahabhain,Scotland,3338,60179,86.48
345,Bushmills,Ireland,460,7258,83.59
357,Cameronbridge,Scotland,306,2673,85.53
365,Caol Ila,Scotland,5110,63113,86.83
367,Caperdonich,Scotland,547,8057,87.82
396,Chichibu,Japan,462,6007,88.62
412,Clynelish,Scotland,2174,39238,86.92
425,Cooley,Ireland,598,7831,81.66
453,Cragganmore,Scotland,718,8101,85.12
454,Craigellachie,Scotland,1127,10221,84.92
469,Dailuaine,Scotland,971,11117,85.23
473,Dallas Dhu,Scotland,345,2536,87.88
475,Dalmore,Scotland,858,14425,85.48
490,Deanston,Scotland,487,13204,85.36
622,Dufftown,Scotland,454,5386,84.26
653,Edradour,Scotland,1521,20774,84.70
694,Fettercairn,Scotland,612,6206,84.15
715,Four Roses Distillery,United States,1755,2214,83.11
757,Glen Elgin,Scotland,663,9853,86.29
760,Glen Garioch,Scotland,834,14962,85.85
761,Glen Grant,Scotland,1802,20976,87.06
762,Glen Keith,Scotland,607,9816,86.96
765,Glen Moray,Scotland,1448,14635,85.38
767,Glen Ord,Scotland,491,6405,85.35
768,Glen Scotia,Scotland,941,14539,85.57
769,Glen Spey,Scotland,339,3055,84.20
770,Glenallachie,Scotland,976,19490,85.67
771,Glenburgie,Scotland,838,9658,86.04
772,Glencadam,Scotland,452,5613,85.78
775,Glendronach,Scotland,1573,65118,88.02
776,Glendullan,Scotland,315,3711,83.95
778,Glenfarclas,Scotland,2304,49791,87.84
779,Glenfiddich,Scotland,1270,24999,84.84
782,Glenglassaugh,Scotland,587,14636,87.28
783,Glengoyne,Scotland,1028,22579,86.15
786,Glenlivet,Scotland,2315,28717,86.26
788,Glenlossie,Scotland,668,7134,86.19
789,Glenmorangie,Scotland,914,27690,84.85
794,Glenrothes,Scotland,1886,24939,86.32
796,Glentauchers,Scotland,910,8889,85.71
797,Glenturret,Scotland,682,7745,85.43
868,"Heaven Hill Distilleries, Inc.",United States,4754,6030,83.91
887,Highland Park,Scotland,2934,51500,87.32
917,Imperial,Scotland,630,6825,86.80
919,Inchgower,Scotland,592,7862,85.53
921,Invergordon,Scotland,589,6611,86.78
937,Isle of Jura,Scotland,822,13765,83.91
948,Jack Daniel's,United States,790,3913,78.33
954,Jim Beam,United States,775,6009,80.23
974,Karuizawa,Japan,698,10010,88.27
976,Kavalan,Taiwan,3008,13054,87.25
980,Kentucky Bourbon Distillers,United States,516,1411,84.58
987,Kilchoman,Scotland,1150,23553,86.06
1011,Knockando,Scotland,365,3646,83.92
1036,Lagavulin,Scotland,649,37188,88.07
1043,Laphroaig,Scotland,3078,73608,87.50
1062,Linkwood,Scotland,1940,15837,86.07
1065,Littlemill,Scotland,643,15484,87.16
1071,Loch Lomond,Scotland,1132,11697,83.67
1087,Longmorn,Scotland,1536,19553,87.42
1109,Macallan,Scotland,3283,46727,88.19
1111,Macduff,Scotland,933,7570,84.96
1112,Mackmyra,Sweden,480,5765,82.79
1120,"Maker's Mark Distillery, Inc.",United States,380,1716,81.29
1127,Mannochmore,Scotland,424,4931,84.65
1149,Michter's Distillery,United States,540,1668,84.79
1152,Midleton (1975-),Ireland,848,17641,83.84
1155,Miltonduff,Scotland,1004,9823,85.69
1162,Miyagikyo,Japan,356,7215,85.96
1178,Mortlach,Scotland,2014,27490,86.17
1234,North British,Scotland,421,3047,84.71
1277,Old Pulteney,Scotland,732,14391,85.91
1342,Port Ellen,Scotland,1382,23248,89.26
1400,Rosebank,Scotland,672,5686,86.85
1405,Royal Brackla,Scotland,581,3870,84.60
1437,Scapa,Scotland,430,4646,84.86
1510,Speyside Distillery,Scotland,405,3557,84.16
1524,Springbank,Scotland,4722,92002,88.49
1530,St. George's Distillery,United Kingdom,429,986,81.09
1576,Strathisla,Scotland,674,8947,87.70
1577,Strathmill,Scotland,518,4939,84.60
1594,Talisker,Scotland,954,39457,86.48
1598,Tamdhu,Scotland,634,9128,85.46
1605,Teaninich,Scotland,594,8665,85.98
1680,Tobermory,Scotland,1887,39479,86.40
1683,Tomatin,Scotland,1327,22731,85.94
1684,Tomintoul,Scotland,493,7768,85.16
1690,Tormore,Scotland,544,6254,85.89
1706,Tullibardine,Scotland,747,8691,84.29
1806,Widow Jane Distillery,United States,1237,129,83.44
1811,Wild Turkey Distillery,United States,381,2961,84.18
1813,Willett Distillery,United States,388,392,86.60
1826,Woodford Reserve,United States,302,2180,81.95
1839,Yamazaki,Japan,564,7608,87.96
1845,Yoichi,Japan,649,8942,86.89
